;0;1;2;3
282;tt0047960;Creature with the Atom Brain;1955;['Crime', ' Horror', ' Sci-Fi']
283;tt0047966;Cult of the Cobra;1955;['Fantasy', ' Horror']
284;tt0047976;Dementia;1955;['Film-Noir', ' Horror', ' Mystery']
285;tt0048127;Gojira no gyakushû;1955;['Action', ' Horror', ' Sci-Fi']
286;tt0048215;It Came from Beneath the Sea;1955;['Horror', ' Sci-Fi']
287;tt0048240;Jû jin yuki otoko;1955;['Horror', ' Sci-Fi']
288;tt0048554;Revenge of the Creature;1955;['Horror', ' Sci-Fi']
289;tt0048696;Tarantula;1955;['Horror', ' Sci-Fi']
290;tt0048938;Alias John Preston;1955;['Horror', ' Mystery', ' Romance']
291;tt0048977;The Bad Seed;1956;['Drama', ' Horror', ' Thriller']
292;tt0048991;The Beast with a Million Eyes;1955;['Horror', ' Sci-Fi']
293;tt0048992;The Beast of Hollow Mountain;1956;['Horror', ' Romance', ' Sci-Fi']
294;tt0049013;The Black Sleep;1956;['Horror', ' Sci-Fi']
295;tt0049103;The Creature Walks Among Us;1956;['Horror', ' Sci-Fi']
296;tt0049115;Curucu, Beast of the Amazon;1956;['Adventure', ' Horror']
297;tt0049128;Day the World Ended;1955;['Horror', ' Sci-Fi']
298;tt0049169;Earth vs. the Flying Saucers;1956;['Horror', ' Sci-Fi']
299;tt0049229;Francis in the Haunted House;1956;['Comedy', ' Fantasy', ' Horror']
300;tt0049234;Fright;1956;['Film-Noir', ' Horror']
301;tt0049248;The Gamma People;1956;['Drama', ' Horror', ' Sci-Fi']
302;tt0049363;Indestructible Man;1956;['Crime', ' Horror', ' Sci-Fi']
303;tt0049366;Invasion of the Body Snatchers;1956;['Drama', ' Horror', ' Sci-Fi']
304;tt0049370;It Conquered the World;1956;['Horror', ' Sci-Fi']
305;tt0049428;Ladrón de cadáveres;1957;['Horror', ' Sci-Fi', ' Thriller']
306;tt0049429;I vampiri;1957;['Horror']
307;tt0049468;Man Beast;1956;['Horror', ' Sci-Fi']
308;tt0049516;The Mole People;1956;['Adventure', ' Fantasy', ' Horror']
309;tt0049615;The Phantom from 10,000 Leagues;1955;['Horror', ' Sci-Fi']
310;tt0049616;Pharaoh's Curse;1957;['Horror']
311;tt0049646;The Quatermass Xperiment;1955;['Horror', ' Sci-Fi']
312;tt0049782;Sora no daikaijû Radon;1956;['Adventure', ' Drama', ' Horror']
313;tt0049944;The Werewolf;1956;['Horror', ' Sci-Fi']
314;tt0049967;X the Unknown;1956;['Horror', ' Sci-Fi']
315;tt0049968;Yambaó;1957;['Horror', ' Thriller']
316;tt0050095;The Abominable Snowman;1957;['Adventure', ' Horror']
317;tt0050143;The Astounding She-Monster;1957;['Crime', ' Horror', ' Sci-Fi']
318;tt0050146;El ataúd del Vampiro;1958;['Mystery', ' Thriller', ' Horror']
319;tt0050147;Attack of the Crab Monsters;1957;['Horror', ' Sci-Fi']
320;tt0050157;Back from the Dead;1957;['Horror']
321;tt0050177;Beginning of the End;1957;['Horror', ' Sci-Fi']
322;tt0050197;The Black Scorpion;1957;['Horror', ' Sci-Fi']
323;tt0050201;Blood of Dracula;1957;['Horror']
324;tt0050210;The Brain from Planet Arous;1957;['Action', ' Adventure', ' Horror']
325;tt0050235;Cat Girl;1957;['Horror']
326;tt0050280;The Curse of Frankenstein;1957;['Horror', ' Sci-Fi', ' Thriller']
327;tt0050281;The Cyclops;1957;['Horror', ' Sci-Fi']
328;tt0050292;Daughter of Dr. Jekyll;1957;['Fantasy', ' Horror']
329;tt0050294;The Deadly Mantis;1957;['Horror', ' Sci-Fi', ' Thriller']
330;tt0050317;The Disembodied;1957;['Horror']
331;tt0050393;Fiend Without a Face;1958;['Horror', ' Sci-Fi']
332;tt0050414;From Hell It Came;1957;['Horror', ' Sci-Fi']
333;tt0050432;The Giant Claw;1957;['Fantasy', ' Horror', ' Sci-Fi']
334;tt0050480;Half Human: The Story of the Abominable Snowman;1958;['Horror', ' Sci-Fi']
335;tt0050530;I Was a Teenage Werewolf;1957;['Drama', ' Fantasy', ' Horror']
336;tt0050531;I Was a Teenage Frankenstein;1957;['Horror', ' Sci-Fi']
337;tt0050539;The Incredible Shrinking Man;1957;['Horror', ' Sci-Fi']
338;tt0050545;Invasion of the Saucer Men;1957;['Horror', ' Sci-Fi']
339;tt0050610;Kronos;1957;['Action', ' Drama', ' Horror']
